"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"1","Anaheim Ducks","82","4985.6333","23","47","12","20","58","0.354","4234","5565","43.21","3184","4364","42.18","2326","3208","42.03","206","335","38.08","218.47","323.64","40.30","2097","3004","41.11","1216","1873","39.37","164","262","38.50","13.49","86.01","878","1371","39.04","623","1010","38.15","102","176","36.69","16.37","82.57","1219","1633","42.74","593","863","40.73","62","86","41.89","10.46","90.03","1696","2214","43.38","887","1214","42.22","39","67","36.79","4.40","94.48","8.86","89.56","0.984"
"2","Arizona Coyotes","82","4991.8167","28","40","14","25","70","0.427","3954","5229","43.06","2963","4003","42.54","2121","2875","42.45","225","295","43.27","205.96","295.75","41.05","2058","2838","42.03","1212","1668","42.08","188","246","43.32","15.51","85.25","823","1178","41.13","576","828","41.03","109","156","41.13","18.92","81.16","1235","1660","42.66","636","840","43.09","79","90","46.75","12.42","89.29","1605","2051","43.90","807","1090","42.54","35","44","44.30","4.34","95.96","10.61","89.74","1.003"
"3","Boston Bruins","82","4982.75","65","12","5","61","135","0.823","4833","4567","51.41","3653","3421","51.64","2704","2447","52.49","301","174","63.37","270.47","229.64","54.08","2675","2377","52.95","1612","1340","54.61","243","144","62.79","15.07","89.25","1098","958","53.40","804","684","54.03","142","96","59.66","17.66","85.96","1577","1419","52.64","808","656","55.19","101","48","67.79","12.50","92.68","1893","1857","50.48","968","938","50.79","50","26","65.79","5.17","97.23","11.13","92.89","1.040"
"4","Buffalo Sabres","82","4976.8833","42","33","7","39","91","0.555","4777","4587","51.01","3630","3660","49.79","2666","2711","49.58","293","297","49.66","268.81","273.81","49.54","2551","2552","49.99","1516","1590","48.81","237","244","49.27","15.63","84.65","1019","1134","47.33","725","828","46.68","139","154","47.44","19.17","81.40","1532","1418","51.93","791","762","50.93","98","90","52.13","12.39","88.19","1900","1724","52.43","1005","994","50.28","49","48","50.52","4.88","95.17","10.99","89.04","1.000"
"5","Carolina Hurricanes","82","4990.5333","52","21","9","48","113","0.689","5606","3757","59.87","4225","2923","59.11","2852","2133","57.21","262","210","55.51","296.3","219.43","57.45","2773","1939","58.85","1552","1223","55.93","216","179","54.68","13.92","85.36","1237","954","56.46","832","674","55.25","137","111","55.24","16.47","83.53","1536","985","60.93","720","549","56.74","79","68","53.74","10.97","87.61","2384","1419","62.69","1199","742","61.77","40","27","59.70","3.34","96.36","9.19","90.15","0.993"
"6","Columbus Blue Jackets","82","4967","25","48","9","24","59","0.360","4544","5422","45.60","3376","4079","45.29","2400","2906","45.23","213","329","39.30","233.33","288.09","44.75","2244","2778","44.68","1303","1609","44.75","165","269","38.02","12.66","83.28","901","1146","44.02","618","806","43.40","97","165","37.02","15.70","79.53","1343","1632","45.14","685","803","46.03","68","104","39.53","9.93","87.05","1912","2258","45.85","955","1168","44.98","43","52","45.26","4.50","95.55","8.88","88.68","0.976"
"7","Calgary Flames","82","4998.6333","38","27","17","36","93","0.567","5527","4193","56.86","4115","3169","56.49","2949","2243","56.80","258","247","51.09","284.64","231.58","55.14","2736","2284","54.50","1619","1364","54.27","212","211","50.12","13.09","84.53","1083","940","53.53","774","654","54.20","135","119","53.15","17.44","81.80","1653","1344","55.16","845","710","54.34","77","92","45.56","9.11","87.04","2305","1556","59.70","1130","740","60.43","43","33","56.58","3.81","95.54","8.75","88.99","0.977"
"8","Chicago Blackhawks","82","4967.4167","26","49","7","24","59","0.360","4075","5068","44.57","3063","3785","44.73","2210","2758","44.48","202","299","40.32","207.16","274.72","42.99","1948","2695","41.96","1157","1570","42.43","174","237","42.34","15.04","84.90","797","1107","41.86","560","798","41.24","112","153","42.26","20.00","80.83","1151","1588","42.02","597","772","43.61","62","84","42.47","10.39","89.12","1778","2003","47.02","930","1059","46.76","26","51","33.77","2.80","95.18","9.14","89.16","0.983"
"9","Colorado Avalanche","82","4996.7667","51","24","7","45","109","0.665","5004","4525","52.51","3674","3411","51.86","2729","2540","51.79","274","223","55.13","255.07","239.06","51.62","2527","2205","53.40","1510","1341","52.96","218","181","54.64","14.44","86.50","999","1029","49.26","735","734","50.03","139","122","53.26","18.91","83.38","1528","1176","56.51","775","607","56.08","79","59","57.25","10.19","90.28","2144","1912","52.86","1118","1057","51.40","49","36","57.65","4.38","96.59","10.04","91.22","1.013"
"10","Dallas Stars","82","4993.05","47","21","14","43","108","0.659","4986","4599","52.02","3635","3448","51.32","2618","2454","51.62","281","215","56.65","273.02","232.54","54.00","2618","2261","53.66","1531","1315","53.79","224","177","55.86","14.63","86.54","1121","943","54.31","792","670","54.17","158","113","58.30","19.95","83.13","1497","1318","53.18","739","645","53.40","66","64","50.77","8.93","90.08","1935","1900","50.46","948","991","48.89","46","34","57.50","4.85","96.57","10.73","91.24","1.020"
"11","Detroit Red Wings","82","4983.25","35","37","10","32","80","0.488","4289","4812","47.13","3203","3530","47.57","2312","2496","48.09","237","275","46.29","226.58","243.94","48.16","2097","2474","45.88","1226","1372","47.19","189","219","46.32","15.42","84.04","842","1034","44.88","625","700","47.17","115","134","46.18","18.40","80.86","1255","1440","46.57","601","672","47.21","74","85","46.54","12.31","87.35","1855","1962","48.60","945","975","49.22","43","51","45.74","4.55","94.77","10.25","88.98","0.992"
